TP_FUNDO;CNPJ_FUNDO;DT_COMPTC;VL_TOTAL;VL_QUOTA;VL_PATRIM_LIQ;CAPTC_DIA;RESG_DIA;NR_COTST
FI;47.033.168/0001-67;2023-07-03;1120136.89;1.000000000000;1122136.89;1122136.89;0.00;1
FI;47.033.348/0001-49;2023-07-03;1019960.00;1.176061660000;1406928.72;0.00;0.00;33
FI;47.033.388/0001-90;2023-07-03;2084185.56;1.182633020000;2358711.52;63646.34;0.00;95
FI;47.033.461/0001-24;2023-07-03;1135653.10;1.097462390000;1313901.42;1100.00;0.00;32
FI;47.046.778/0001-03;2023-07-03;2732443.56;0.884941230000;2731619.37;0.00;0.00;1
FI;47.046.798/0001-76;2023-07-03;8571537.37;1.132335400000;8588974.73;0.00;0.00;1
FI;47.046.813/0001-86;2023-07-03;26191121.21;1.485095400000;26048410.41;0.00;0.00;1
FI;47.046.831/0001-68;2023-07-03;51971794.32;1.097410400000;51981331.26;0.00;0.00;1
FI;47.046.855/0001-17;2023-07-03;16644017.43;111.514164600000;16603271.25;0.00;100.90;64
FI;47.047.092/0001-29;2023-07-03;2268182.22;1.066869810000;2198696.26;955.00;547.57;198
FI;47.047.136/0001-10;2023-07-03;3479884.00;1.000000000000;3000000.00;3000000.00;0.00;1
FI;47.047.161/0001-02;2023-07-03;48111788.15;1.062498910000;48134962.12;0.00;0.00;1
FI;47.047.184/0001-09;2023-07-03;3621387.84;1.057086110000;3621940.64;0.00;0.00;1
FI;47.047.267/0001-06;2023-07-03;45211272.42;0.957022070000;45206289.69;0.00;0.00;1
FI;47.047.294/0001-70;2023-07-03;317181273.83;1.098069150000;317178109.36;65668.03;65668.03;6699
FI;47.061.869/0001-00;2023-07-03;88460512.48;1.009489300000;88920465.51;0.00;0.00;2
FI;47.061.905/0001-35;2023-07-03;222252376.85;0.963035300000;223654991.10;0.00;0.00;5
FI;47.061.986/0001-73;2023-07-03;6954759.90;1.158275600000;6913409.76;0.00;0.00;13
